ts,type,slug,tick,data
1767442066.6004407,quote,btc-updown-15m-1767441600,20,"{""type"": ""quote"", ""tick"": 20, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.06"", ""ask"": ""0.07""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.93"", ""ask"": ""0.94""}}}"
1767442067.603158,tick,btc-updown-15m-1767441600,21,"{""type"": ""tick"", ""tick"": 21, ""slug"": ""btc-updown-15m-1767441600""}"
1767442068.9719925,quote,btc-updown-15m-1767441600,21,"{""type"": ""quote"", ""tick"": 21, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.06"", ""ask"": ""0.07""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.93"", ""ask"": ""0.94""}}}"
1767442069.9742553,tick,btc-updown-15m-1767441600,22,"{""type"": ""tick"", ""tick"": 22, ""slug"": ""btc-updown-15m-1767441600""}"
1767442071.3752167,quote,btc-updown-15m-1767441600,22,"{""type"": ""quote"", ""tick"": 22, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.06"", ""ask"": ""0.07""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.93"", ""ask"": ""0.94""}}}"
1767442072.3768601,tick,btc-updown-15m-1767441600,23,"{""type"": ""tick"", ""tick"": 23, ""slug"": ""btc-updown-15m-1767441600""}"
1767442073.739798,quote,btc-updown-15m-1767441600,23,"{""type"": ""quote"", ""tick"": 23, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.06"", ""ask"": ""0.07""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.93"", ""ask"": ""0.94""}}}"
1767442074.7422082,tick,btc-updown-15m-1767441600,24,"{""type"": ""tick"", ""tick"": 24, ""slug"": ""btc-updown-15m-1767441600""}"
1767442076.312883,quote,btc-updown-15m-1767441600,24,"{""type"": ""quote"", ""tick"": 24, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.06"", ""ask"": ""0.08""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.92"", ""ask"": ""0.94""}}}"
1767442077.3155377,tick,btc-updown-15m-1767441600,25,"{""type"": ""tick"", ""tick"": 25, ""slug"": ""btc-updown-15m-1767441600""}"
