cap,ma_len,tick_confirm,tp_abs,cooldown_sec,no_entry_last_sec,entry_slope_max,haircut,trades,train_pnl,train_mdd,train_score,mar03_pnl,sim_pnl,val_pnl,total_pnl,sell_fail_rate
0.45,480,0,0.99,0,none,-0.01,0.01,354,5.599999999999995,-19.700000000000003,-4.250000000000006,-10.770149253731345,24.61000000000001,13.839850746268665,19.43985074626866,0.222
0.45,480,2,none,0,none,none,0.01,630,-19.760000148650015,-37.45,-38.485000148650016,-21.610447761194024,8.990000000000002,-12.620447761194022,-32.38044790984404,0.227
0.45,480,2,none,0,none,0,0.01,438,-19.90000014865,-37.290000000000006,-38.545000148650004,-15.840298507462691,20.109999999999992,4.269701492537301,-15.630298656112698,0.218
0.45,480,0,0.99,30,none,-0.005,0.01,164,1.0499999999999998,-20.150000000000002,-9.025000000000002,-4.200000000000001,21.410000000000004,17.21,18.26,0.22
0.45,480,0,0.99,30,none,-0.01,0.01,160,2.099999999999998,-19.000000000000004,-7.400000000000004,-4.090049751243784,21.610000000000003,17.519950248756217,19.61995024875621,0.22
0.45,480,2,none,0,none,-0.005,0.01,396,-2.060000148650005,-25.450000000000003,-14.785000148650006,-16.940298507462686,21.109999999999996,4.16970149253731,2.1097013438872985,0.221
0.45,480,2,none,0,none,-0.01,0.01,352,-12.110000148650014,-32.2,-28.210000148650018,-15.340298507462686,27.510000000000005,12.16970149253732,0.05970134388730486,0.206
0.45,480,2,none,30,none,none,0.01,198,-9.160000148650006,-24.749999999999996,-21.535000148650006,-3.370149253731345,-11.900000000000006,-15.27014925373135,-24.430149402381357,0.202
0.45,480,2,none,30,none,0,0.01,174,-7.2600001486500085,-23.15,-18.835000148650007,-4.180099502487561,1.1100000000000048,-3.0700995024875564,-10.330099651137568,0.22
0.45,480,2,none,30,none,-0.005,0.01,172,-0.06000014865000902,-22.65,-11.385000148650008,-4.060199004975125,1.810000000000001,-2.250199004975124,-2.3101991536251347,0.208
0.45,480,2,none,30,none,-0.01,0.01,166,-1.6100001486500126,-23.6,-13.410000148650013,-3.970149253731343,8.709999999999999,4.739850746268656,3.1298505976186437,0.211
0.45,480,2,0.98,0,none,none,0.01,636,-30.31,-41.510000000000005,-51.065,-19.50049751243781,7.60000000000003,-11.90049751243778,-42.210497512437776,0.222
0.45,480,2,0.98,0,none,0,0.01,440,-23.85,-37.849999999999994,-42.775,-17.6502487562189,19.419999999999987,1.7697512437810872,-22.080248756218914,0.24
0.45,480,2,0.98,0,none,-0.005,0.01,396,-6.9500000000000215,-30.450000000000017,-22.17500000000003,-15.440298507462687,20.11999999999999,4.679701492537303,-2.2702985074627122,0.221
0.45,480,2,0.98,0,none,-0.01,0.01,352,-6.500000000000015,-28.100000000000016,-20.550000000000022,-13.850248756218908,26.219999999999988,12.36975124378108,5.869751243781071,0.224
0.45,480,2,0.98,30,none,none,0.01,198,-9.250000000000016,-24.150000000000006,-21.325000000000017,-3.4601990049751254,-12.899999999999991,-16.360199004975115,-25.61019900497513,0.197
0.45,480,2,0.98,30,none,0,0.01,174,-8.350000000000007,-23.55,-20.125000000000007,-4.070149253731341,0.8199999999999967,-3.250149253731344,-11.600149253731349,0.204
0.45,480,2,0.98,30,none,-0.005,0.01,172,-1.6600000000000001,-23.35,-13.335,-3.9701492537313428,-0.08000000000000451,-4.050149253731347,-5.710149253731343,0.206
0.45,480,2,0.98,30,none,-0.01,0.01,166,-0.3999999999999997,-22.4,-11.6,-4.180099502487562,8.219999999999997,4.039900497512435,3.6399004975124303,0.212
0.45,480,2,0.99,0,none,none,0.01,636,-28.620000000000005,-40.120000000000005,-48.68000000000001,-18.81044776119402,7.200000000000017,-11.610447761194003,-40.230447761194014,0.221
0.45,480,2,0.99,0,none,0,0.01,440,-22.25999999999998,-37.249999999999986,-40.88499999999998,-16.630348258706476,21.719999999999978,5.089651741293501,-17.170348258706483,0.236
0.45,480,2,0.99,0,none,-0.005,0.01,396,-6.660000000000001,-30.050000000000004,-21.685000000000002,-13.430348258706468,21.420000000000005,7.989651741293537,1.3296517412935316,0.224
0.45,480,2,0.99,0,none,-0.01,0.01,352,-7.710000000000015,-29.000000000000014,-22.210000000000022,-15.360199004975126,26.62,11.259800995024875,3.5498009950248566,0.228
0.45,480,2,0.99,30,none,none,0.01,198,-8.860000000000007,-24.150000000000006,-20.93500000000001,-3.4601990049751254,-12.79999999999999,-16.260199004975114,-25.12019900497512,0.197
