enter_1,stop_drop,take_profit,entry_cap,t_enter,stop_confirm,stable,pnl,mdd,score,janfeb,mar03,sim,val,W,L,fills
0.9,0.12,0.98,0.9,450,20,60,1.85,-4.5,-0.4,-0.1,1.4,0.55,1.95,18,5,46
0.9,0.12,0.98,0.9,180,0,60,0.45,-2.1,-0.6,0.4,0.0,0.05,0.05,7,3,20
0.9,0.08,0.98,0.9,450,20,60,1.45,-4.1,-0.6,-0.0,1.4,0.05,1.45,18,5,46
0.9,0.12,0.99,0.9,180,0,60,0.4,-2.1,-0.65,0.5,0.0,-0.1,-0.1,7,3,20
0.9,0.08,0.98,0.9,300,0,60,0.55,-2.7,-0.8,1.1,0.7,-1.25,-0.55,11,5,32
0.9,0.08,0.99,0.9,180,0,15,1.5,-4.6,-0.8,-3.1,0.8,3.8,4.6,14,8,44
0.9,0.08,0.98,0.9,180,30,0,2.25,-6.2,-0.85,1.3,1.2,-0.25,0.95,51,15,132
0.9,0.12,0.98,0.9,180,20,60,0.85,-3.4,-0.85,0.1,0.0,0.75,0.75,8,2,20
0.9,0.06,0.98,0.9,180,20,60,0.65,-3.1,-0.9,0.4,0.0,0.25,0.25,8,2,20
0.9,0.12,0.99,0.9,180,20,60,0.8,-3.4,-0.9,0.2,0.0,0.6,0.6,8,2,20
0.85,0.12,0.98,0.9,180,30,60,1.36,-4.6,-0.94,2.4,1.81,-2.85,-1.04,24,8,64
0.9,0.06,0.99,0.9,180,20,60,0.6,-3.1,-0.95,0.5,0.0,0.1,0.1,8,2,20
0.85,0.12,0.99,0.9,180,30,60,1.31,-4.6,-0.99,2.3,1.91,-2.9,-0.99,24,8,64
0.9,0.06,0.99,0.9,180,30,30,0.3,-2.7,-1.05,1.0,0.8,-1.5,-0.7,10,4,28
0.9,0.06,0.98,0.9,180,30,30,0.25,-2.8,-1.15,0.9,0.7,-1.35,-0.65,10,4,28
0.9,0.08,0.98,0.9,180,0,15,1.15,-4.6,-1.15,-3.2,0.7,3.65,4.35,14,8,44
0.9,0.06,0.99,0.9,180,20,15,1.0,-4.6,-1.3,-1.7,0.8,1.9,2.7,17,5,44
0.85,0.08,0.98,0.9,180,20,0,3.01,-8.65,-1.32,4.9,2.51,-4.4,-1.89,71,30,202
0.9,0.06,0.99,0.9,300,30,60,0.7,-4.1,-1.35,2.7,0.8,-2.8,-2.0,11,5,32
0.9,0.06,0.98,0.9,180,20,15,0.85,-4.6,-1.45,-1.6,0.7,1.75,2.45,17,5,44
0.9,0.08,0.98,0.9,300,30,15,2.25,-7.45,-1.48,0.7,2.7,-1.15,1.55,38,12,100
0.9,0.06,0.98,0.9,300,0,0,0.8,-4.8,-1.6,2.5,0.4,-2.1,-1.7,67,54,242
0.9,0.1,0.99,0.9,180,0,30,-0.1,-3.0,-1.6,-0.4,0.8,-0.5,0.3,9,5,28
0.9,0.1,0.98,0.9,180,0,30,-0.15,-3.0,-1.65,-0.5,0.7,-0.35,0.35,9,5,28
0.9,0.1,0.99,0.9,450,0,60,0.83,-5.2,-1.77,1.6,1.6,-2.37,-0.77,16,7,46
0.9,0.08,0.99,0.9,180,20,15,0.8,-5.2,-1.8,-1.9,0.8,1.9,2.7,17,5,44
0.9,0.08,0.98,0.9,180,20,60,0.05,-3.7,-1.8,-0.2,0.0,0.25,0.25,8,2,20
0.8,0.06,0.99,0.9,450,0,0,11.21,-26.11,-1.85,21.93,5.05,-15.77,-10.72,89,108,430
0.9,0.08,0.99,0.9,180,20,60,0.0,-3.7,-1.85,-0.1,0.0,0.1,0.1,8,2,20
0.9,0.12,0.98,0.9,300,30,15,2.15,-8.15,-1.93,0.4,2.7,-0.95,1.75,38,12,100
0.9,0.08,0.98,0.9,180,20,15,0.65,-5.2,-1.95,-1.8,0.7,1.75,2.45,17,5,44
0.9,0.08,0.99,0.95,450,0,60,0.75,-5.57,-2.03,3.72,0.1,-3.07,-2.97,69,27,196
0.9,0.1,0.98,0.9,300,0,60,-0.45,-3.2,-2.05,0.6,0.7,-1.75,-1.05,11,5,32
0.9,0.12,0.99,0.9,300,30,30,0.3,-4.7,-2.05,-0.7,2.9,-1.9,1.0,21,8,58
0.9,0.12,0.98,0.9,300,20,60,-0.35,-3.4,-2.05,-0.2,0.7,-0.85,-0.15,12,4,32
0.9,0.1,0.98,0.95,180,0,60,-0.3,-3.55,-2.08,-3.25,0.9,2.05,2.95,25,7,68
0.9,0.1,0.99,0.9,180,20,15,0.4,-5.0,-2.1,-2.3,0.8,1.9,2.7,17,5,44
0.9,0.1,0.98,0.9,180,20,60,-0.15,-3.9,-2.1,-0.4,0.0,0.25,0.25,8,2,20
0.9,0.08,0.98,0.95,180,20,0,0.96,-6.2,-2.14,-0.0,3.4,-2.44,0.96,74,22,194
0.9,0.08,0.99,0.9,300,30,30,0.3,-4.9,-2.15,-0.5,2.9,-2.1,0.8,21,8,58
0.9,0.1,0.99,0.9,180,20,60,-0.2,-3.9,-2.15,-0.3,0.0,0.1,0.1,8,2,20
0.9,0.12,0.98,0.9,450,30,30,0.15,-4.7,-2.2,-3.2,3.3,0.05,3.35,31,11,84
0.9,0.12,0.99,0.9,450,20,60,0.13,-4.7,-2.22,0.4,1.6,-1.87,-0.27,17,6,46
0.9,0.1,0.98,0.9,180,20,15,0.25,-5.0,-2.25,-2.2,0.7,1.75,2.45,17,5,44
0.9,0.12,0.98,0.9,180,30,0,1.85,-8.2,-2.25,2.9,1.2,-2.25,-1.05,51,15,132
0.9,0.12,0.98,0.9,300,0,30,-0.35,-3.8,-2.25,-3.1,2.6,0.15,2.75,20,9,58
0.9,0.1,0.98,0.9,450,20,60,0.35,-5.2,-2.25,-1.1,1.4,0.05,1.45,18,5,46
0.9,0.06,0.99,0.9,450,20,60,0.33,-5.2,-2.27,1.1,1.6,-2.37,-0.77,17,6,46
