cap,ma_len,tick_confirm,tp_abs,cooldown_sec,no_entry_last_sec,haircut,trades,train_pnl,train_mdd,train_score,val_pnl,total_pnl,sell_fail_rate
0.5,200,0,0.98,0,80,0.01,1810,-34.180348258706545,-57.210199004975145,-62.78544776119412,-26.191044776119412,-42.36139303482597,0.212
0.5,200,0,0.98,0,100,0.01,1774,-49.1901990049752,-71.68019900497521,-85.0302985074628,-16.33084577114432,-56.52104477611951,0.212
0.5,200,0,0.98,30,none,0.01,366,1.2399502487562075,-13.790049751243782,-5.655074626865684,0.759701492537314,0.3096517412935196,0.227
0.5,200,0,0.98,30,80,0.01,364,3.3399502487562036,-12.890049751243787,-3.1050746268656897,0.559701492537314,1.9096517412935192,0.228
0.5,200,0,0.98,30,100,0.01,362,3.3399502487562036,-12.890049751243787,-3.1050746268656897,0.559701492537314,1.999651741293519,0.228
0.5,200,0,0.98,60,none,0.01,366,1.2399502487562075,-13.790049751243782,-5.655074626865684,0.759701492537314,0.3096517412935196,0.227
0.5,200,0,0.98,60,80,0.01,364,3.3399502487562036,-12.890049751243787,-3.1050746268656897,0.559701492537314,1.9096517412935192,0.228
0.5,200,0,0.98,60,100,0.01,362,3.3399502487562036,-12.890049751243787,-3.1050746268656897,0.559701492537314,1.999651741293519,0.228
0.5,200,0,0.98,90,none,0.01,366,1.2399502487562075,-13.790049751243782,-5.655074626865684,0.759701492537314,0.3096517412935196,0.227
0.5,200,0,0.98,90,80,0.01,364,3.3399502487562036,-12.890049751243787,-3.1050746268656897,0.559701492537314,1.9096517412935192,0.228
0.5,200,0,0.98,90,100,0.01,362,3.3399502487562036,-12.890049751243787,-3.1050746268656897,0.559701492537314,1.999651741293519,0.228
0.5,200,0,0.99,0,none,0.01,1948,-31.840149253731408,-54.95014925373141,-59.31522388059712,-29.991044776119402,-53.12119402985084,0.214
0.5,200,0,0.99,0,80,0.01,1810,-39.380398009950326,-57.60024875621894,-68.1805223880598,-28.171144278606974,-50.441542288557315,0.212
0.5,200,0,0.99,0,100,0.01,1764,-54.60019900497517,-72.59019900497516,-90.89529850746274,-16.971144278607056,-61.671343283582225,0.211
0.5,200,0,0.99,30,none,0.01,366,1.5399502487562144,-13.790049751243782,-5.355074626865676,0.7597014925373138,0.6096517412935274,0.227
0.5,200,0,0.99,30,80,0.01,364,3.639950248756207,-12.890049751243787,-2.8050746268656863,0.5597014925373127,2.20965174129352,0.228
0.5,200,0,0.99,30,100,0.01,362,3.639950248756207,-12.890049751243787,-2.8050746268656863,0.5597014925373127,2.29965174129352,0.228
0.5,200,0,0.99,60,none,0.01,366,1.5399502487562144,-13.790049751243782,-5.355074626865676,0.7597014925373138,0.6096517412935274,0.227
0.5,200,0,0.99,60,80,0.01,364,3.639950248756207,-12.890049751243787,-2.8050746268656863,0.5597014925373127,2.20965174129352,0.228
0.5,200,0,0.99,60,100,0.01,362,3.639950248756207,-12.890049751243787,-2.8050746268656863,0.5597014925373127,2.29965174129352,0.228
0.5,200,0,0.99,90,none,0.01,366,1.5399502487562144,-13.790049751243782,-5.355074626865676,0.7597014925373138,0.6096517412935274,0.227
0.5,200,0,0.99,90,80,0.01,364,3.639950248756207,-12.890049751243787,-2.8050746268656863,0.5597014925373127,2.20965174129352,0.228
0.5,200,0,0.99,90,100,0.01,362,3.639950248756207,-12.890049751243787,-2.8050746268656863,0.5597014925373127,2.29965174129352,0.228
0.5,200,2,none,0,none,0.01,1934,-74.76015098798403,-77.91015098798405,-113.71522648197606,-33.36218905472646,-99.02234004271047,0.215
